DisplayName,Phone
AIR parentCompany LTD EGYPT,1.12023E+11
EVAP EGYPT,1.12022E+12
parentCompany  BELGIUM,1.13212E+11
parentCompany  MILANO ITALY,1.13903E+12
parentCompany  SONDRIO ITALY,1.13903E+13
parentCompany Air Cool Syst Jiaxing Ch,1.18657E+14
parentCompany AIR SOLUTIONS DENMARK,1.14598E+11
parentCompany Air Solutions GmbH,1.14954E+13
parentCompany ALCOIL,PhoneNumber15
parentCompany AUSTRALIA,1.1613E+12
parentCompany BEIJING,1.18611E+13
parentCompany BLCT DRY COOLNG COLORADO,19088953239
parentCompany BLCT DRY COOLNG MAIN OFC,19088953223
parentCompany Brasil Plant,1.15511E+13
parentCompany CHINA SHANGHAI,1.18622E+13
parentCompany Dry Cooling Inc.,PhoneNumber10
parentCompany Dry Cooling Inc. CO,19088953240
parentCompany EGYPT,1.12022E+12
parentCompany IOWA LAKE VIEW IA,PhoneNumber4
parentCompany LMP (Quebec),PhoneNumber18
parentCompany Middle East DMCC,1.1012E+16
parentCompany MIDDLE EAST DUBAI,1.19715E+12
parentCompany MIDWEST Backup Number,12179239221
parentCompany MIDWEST Location3 IL,phoneNumber3
parentCompany NEWTON,PhoneNumber12
parentCompany NW,15036392137
parentCompany Power Mexico,1.15256E+13
parentCompany REGIONAL OFC MEDFORD,PhoneNumber17
parentCompany SELECT TECH,PhoneNumber19
parentCompany SOUTH AFRICA,1.12711E+12
Location2 MADERA CA,PhoneNumber2
parentCompany-SEMCO PLANT,1.15511E+13
parentCompany-SEMCO SALES OFFICE,1.15512E+13
subsidiaryCompany2 Asia Pacific Sdn Bhd,1.16038E+12
subsidiaryCompany2 LENEXA KS,PhoneNumber9
subsidiaryCompany3,1.15511E+13
TOWER COMPONENTS RAMSEUR NC,PhoneNumber11

